Account Number,Account Name,sku,category,quantity,unit price,ext price,date
371496,Dare-Aufderhar,LK-02338,Sweater,16,35.46,567.36,2014-02-26T13:21:02.000000
5971,Rogahn-Towne,AE-95093,Socks,5,69.25,346.25,2013-11-07T18:50:14.000000
841645,"Murray, Herzog and Treutel",ZC-07383,Sweater,16,63.2,1011.2,2014-08-22T19:22:19.000000
172430,"Legros, Stoltenberg and O'Keefe",XX-25746,Hat,7,12.57,87.99,2014-06-11T02:23:31.000000
50523,"Stamm, Oberbrunner and Hills",QS-76400,Sweater,6,19.61,117.66,2014-07-07T06:48:28.000000
816921,"Rolfson, Nolan and Mann",XX-25746,Hat,13,95.29,1238.77,2013-11-17T08:40:48.000000
190550,"Marvin, Johnson and McDermott",GS-95639,Socks,20,59.44,1188.8,2014-08-01T13:55:31.000000
789704,"Sporer, Hickle and Steuber",LK-02338,Sweater,3,97.6,292.8,2013-11-05T22:11:25.000000
300064,"Streich, Hermiston and Walsh",RU-25060,Sweater,15,31.37,470.55,2013-12-17T03:31:02.000000
558324,O'Keefe-Kuhlman,LK-02338,Sweater,20,58.62,1172.4,2013-12-28T01:49:48.000000
659158,Swift-Okuneva,AE-95093,Socks,15,21.53,322.95,2014-07-20T19:23:56.000000
881248,Runolfsdottir-VonRueden,XX-25746,Hat,4,52.43,209.72,2014-04-04T14:33:21.000000
313152,Wehner-Cruickshank,RU-25060,Sweater,19,29.5,560.5,2013-10-12T09:09:43.000000
91059,"Armstrong, Champlin and Ratke",XX-25746,Hat,7,83.9,587.3,2014-07-14T03:51:45.000000
624633,"Emmerich, Torp and Carter",QS-76400,Sweater,4,15.71,62.84,2013-11-03T12:23:33.000000
653729,Emmerich-Gerlach,RU-25060,Sweater,20,81.31,1626.2,2014-09-17T10:59:41.000000
438999,Kozey Ltd,XX-25746,Hat,4,28.84,115.36,2014-05-17T21:33:06.000000
686172,Feeney-Kessler,QS-76400,Sweater,11,56.56,622.16,2013-12-06T21:25:38.000000
618390,"Purdy, Fay and Bechtelar",XX-25746,Hat,3,27.79,83.37,2014-02-19T04:24:51.000000
143837,"Jast, Abshire and Jast",GS-95639,Socks,16,99.07,1585.12,2013-10-13T09:29:49.000000
49061,"Christiansen, Zulauf and Bosco",IC-59308,Socks,5,35.82,179.1,2014-04-25T18:05:38.000000
45241,O'Keefe LLC,HX-24728,Hat,7,87.78,614.46,2014-08-30T00:44:46.000000
879335,Schowalter-Spinka,QS-76400,Sweater,11,77.89,856.79,2013-10-11T09:53:39.000000
672858,Mayer LLC,HX-24728,Hat,15,35.66,534.9,2014-01-11T02:36:36.000000
527078,Kuvalis-Roberts,RU-25060,Sweater,9,80.78,727.02,2014-03-30T01:33:30.000000
824547,Langworth LLC,FT-50146,Sweater,15,63.8,957.0,2013-11-17T10:52:56.000000
935584,Jast-Jast,FT-50146,Sweater,1,64.53,64.53,2014-08-28T01:58:39.000000
973981,Kutch Inc,RU-25060,Sweater,10,63.78,637.8,2013-12-26T06:13:26.000000
116357,Terry PLC,HX-24728,Hat,20,22.65,453.0,2013-11-06T04:14:49.000000
212537,Wolff-Johnston,FT-50146,Sweater,20,73.16,1463.2,2013-12-26T06:35:13.000000
304389,Dickinson-McGlynn,GS-95639,Socks,4,65.46,261.84,2013-11-21T13:18:56.000000
44460,Leuschke PLC,QS-76400,Sweater,20,53.27,1065.4,2014-06-01T05:37:59.000000
484679,King and Sons,ZC-07383,Sweater,13,28.58,371.54,2014-04-08T06:16:06.000000
49773,Dickens-Ebert,IC-59308,Socks,2,38.08,76.16,2014-02-27T18:37:52.000000
269278,Luettgen-Ritchie,ZC-07383,Sweater,2,20.64,41.28,2014-09-27T15:47:56.000000
305893,Dickinson-Larson,ZC-07383,Sweater,13,45.33,589.29,2014-05-30T08:35:54.000000
979589,Brown Inc,FT-50146,Sweater,20,30.0,600.0,2013-11-13T23:36:52.000000
816921,"Rolfson, Nolan and Mann",FT-50146,Sweater,5,34.57,172.85,2014-04-10T21:39:24.000000
225551,Huels LLC,RU-25060,Sweater,16,74.9,1198.4,2013-12-25T20:53:55.000000
145616,"Wiza, Nolan and Johns",ZC-07383,Sweater,14,25.75,360.5,2013-12-07T23:40:46.000000
191828,Vandervort-Wunsch,GS-95639,Socks,11,40.98,450.78,2014-03-02T05:34:44.000000
341067,Lesch-Lang,XX-25746,Hat,10,65.41,654.1,2014-05-03T19:29:31.000000
178236,Kris and Sons,AE-95093,Socks,3,68.79,206.37,2014-03-10T03:33:15.000000
112757,Considine-Legros,IC-59308,Socks,8,82.52,660.16,2014-02-26T20:45:00.000000
50523,"Stamm, Oberbrunner and Hills",ZC-07383,Sweater,17,62.33,1059.61,2014-01-07T07:13:34.000000
115558,Miller PLC,RU-25060,Sweater,3,97.96,293.88,2014-06-13T04:05:36.000000
602985,"Raynor, Bartell and Jakubowski",IC-59308,Socks,12,96.4,1156.8,2014-03-07T10:01:10.000000
884468,Turcotte and Sons,XX-25746,Hat,19,28.85,548.15,2014-08-14T20:16:21.000000
206192,Nicolas-Emard,HX-24728,Hat,1,95.05,95.05,2014-04-29T08:52:26.000000
858206,"Conn, Kub and Collier",AE-95093,Socks,12,95.77,1149.24,2014-08-04T12:49:34.000000
225551,Huels LLC,QS-76400,Sweater,8,82.51,660.08,2014-08-28T11:16:54.000000
957279,Kozey-Roberts,ZC-07383,Sweater,15,79.42,1191.3,2014-06-29T20:38:21.000000
775495,Rippin-Gerlach,FT-50146,Sweater,16,67.5,1080.0,2014-05-22T10:58:42.000000
79480,Kautzer LLC,XX-25746,Hat,3,15.37,46.11,2013-10-09T03:43:24.000000
48242,"Corkery, King and Cassin",AE-95093,Socks,7,83.78,586.46,2013-10-04T03:35:17.000000
668727,Schaden and Sons,IC-59308,Socks,1,28.73,28.73,2014-07-16T18:40:13.000000
884576,"Schroeder, Hilpert and Quigley",LK-02338,Sweater,20,33.47,669.4,2013-12-27T18:06:05.000000
71960,Feest-Torphy,LK-02338,Sweater,15,37.69,565.35,2014-09-14T10:15:26.000000
714509,Willms PLC,FT-50146,Sweater,12,58.7,704.4,2014-09-29T12:14:09.000000
702153,Kautzer-Rolfson,HX-24728,Hat,12,41.75,501.0,2013-12-18T18:36:12.000000
84913,Zieme-Romaguera,QS-76400,Sweater,3,86.71,260.13,2013-11-20T13:59:21.000000
600954,"Bartell, Cronin and Abbott",IC-59308,Socks,9,32.49,292.41,2014-02-17T09:43:32.000000
423621,Beatty and Sons,HX-24728,Hat,4,80.01,320.04,2014-09-25T03:56:16.000000
224745,"Paucek, Cole and Ebert",RU-25060,Sweater,20,34.97,699.4,2014-04-29T18:06:19.000000
222704,Ernser-Dare,HX-24728,Hat,3,50.75,152.25,2014-07-15T08:43:35.000000
455768,Sawayn-Treutel,IC-59308,Socks,15,10.54,158.1,2014-01-22T10:16:21.000000
555482,"Bergstrom, Medhurst and Zieme",IC-59308,Socks,16,12.41,198.56,2014-03-27T08:01:56.000000
383015,Bartoletti Inc,FT-50146,Sweater,2,43.5,87.0,2014-01-26T09:31:20.000000
440852,"Bradtke, Daniel and Hagenes",GS-95639,Socks,19,95.38,1812.22,2014-08-17T00:36:11.000000
852731,"Leuschke, Haley and Green",HX-24728,Hat,10,42.33,423.3,2013-10-05T00:50:13.000000
659793,Fritsch-Paucek,RU-25060,Sweater,17,45.3,770.1,2014-02-15T18:13:59.000000
622744,Nader Group,GS-95639,Socks,9,64.24,578.16,2014-03-09T05:35:10.000000
785380,Veum Inc,AE-95093,Socks,1,95.21,95.21,2013-12-01T07:41:14.000000
680569,"Cummerata, Ryan and Moen",RU-25060,Sweater,6,76.65,459.9,2014-03-15T19:52:22.000000
17915,Huel Inc,XX-25746,Hat,2,50.39,100.78,2014-05-14T09:59:11.000000
948283,"Stoltenberg, Muller and Mertz",LK-02338,Sweater,6,79.15,474.9,2013-10-22T07:43:55.000000
352978,Kemmer Group,RU-25060,Sweater,20,84.7,1694.0,2014-07-21T12:56:32.000000
868055,Kuhlman-Lubowitz,QS-76400,Sweater,18,51.18,921.24,2013-11-26T03:37:44.000000
910468,"Lockman, Fisher and Considine",FT-50146,Sweater,1,25.18,25.18,2013-10-14T09:36:20.000000
317545,"Williamson, Olson and Funk",GS-95639,Socks,2,19.16,38.32,2014-03-27T04:27:43.000000
991976,Hansen-Feeney,AE-95093,Socks,3,78.25,234.75,2014-08-18T08:05:04.000000
490635,Hessel and Sons,QS-76400,Sweater,4,57.63,230.52,2013-12-24T15:01:04.000000
708467,Homenick-Cremin,HX-24728,Hat,18,26.77,481.86,2014-01-16T01:28:22.000000
910923,McCullough-Glover,RU-25060,Sweater,20,56.85,1137.0,2013-12-19T22:37:45.000000
689693,"Howe, Witting and Luettgen",IC-59308,Socks,3,81.63,244.89,2013-12-09T17:54:12.000000
39521,Wuckert-Yost,RU-25060,Sweater,1,86.25,86.25,2013-12-05T19:47:09.000000
291673,Kuhlman Inc,IC-59308,Socks,9,11.56,104.04,2013-10-17T02:34:20.000000
349982,"Miller, Bechtelar and Haley",LK-02338,Sweater,16,81.66,1306.56,2013-12-12T06:31:54.000000
31780,"Little, Stokes and McClure",FT-50146,Sweater,18,56.55,1017.9,2014-01-30T05:36:35.000000
702153,Kautzer-Rolfson,ZC-07383,Sweater,12,94.58,1134.96,2014-08-06T09:58:40.000000
520942,"Graham, Block and Bergstrom",QS-76400,Sweater,2,35.13,70.26,2013-11-22T11:43:50.000000
218356,Bergnaum-Green,IC-59308,Socks,13,67.18,873.34,2014-07-22T23:30:36.000000
271238,"Runolfsdottir, Rolfson and Pacocha",RU-25060,Sweater,14,60.77,850.78,2014-04-03T22:57:35.000000
346891,"Weimann, Swift and Conroy",LK-02338,Sweater,18,52.24,940.32,2014-02-07T03:15:43.000000
613570,Beier and Sons,QS-76400,Sweater,3,26.14,78.42,2013-10-28T18:08:12.000000
801586,Watsica PLC,LK-02338,Sweater,1,46.88,46.88,2014-04-04T07:02:06.000000
343481,Mills Inc,LK-02338,Sweater,18,68.66,1235.88,2014-03-31T04:40:02.000000
443206,"Wilkinson, Pagac and Cole",RU-25060,Sweater,20,68.56,1371.2,2014-05-07T01:26:30.000000
596296,"Ferry, Howe and Stokes",IC-59308,Socks,11,50.73,558.03,2014-09-04T00:15:38.000000
651647,Monahan-Sanford,QS-76400,Sweater,11,85.47,940.17,2014-02-08T05:03:00.000000
621565,Parker LLC,ZC-07383,Sweater,3,99.02,297.06,2014-06-07T14:45:19.000000
40033,"Schamberger, Hudson and Kuhic",GS-95639,Socks,2,26.45,52.9,2014-07-30T20:10:37.000000
558485,Labadie-Zemlak,FT-50146,Sweater,13,28.7,373.1,2014-04-05T01:54:56.000000
91059,"Armstrong, Champlin and Ratke",LK-02338,Sweater,19,10.44,198.36,2014-03-24T12:41:54.000000
292165,Luettgen PLC,GS-95639,Socks,6,54.15,324.9,2014-09-25T09:19:21.000000
542855,Kuhlman and Sons,RU-25060,Sweater,18,86.2,1551.6,2013-10-28T20:08:42.000000
265520,Pagac-Robel,FT-50146,Sweater,9,80.18,721.62,2013-10-19T23:57:00.000000
731732,Bergstrom-Wisoky,FT-50146,Sweater,14,96.1,1345.4,2013-11-19T11:21:19.000000
104535,Kling and Sons,QS-76400,Sweater,14,39.92,558.88,2014-02-02T01:50:14.000000
461185,"Witting, Anderson and Graham",XX-25746,Hat,7,31.66,221.62,2014-07-27T15:23:05.000000
200079,Cruickshank-Hamill,RU-25060,Sweater,12,57.39,688.68,2014-02-02T06:43:30.000000
944406,Borer Inc,IC-59308,Socks,10,87.73,877.3,2013-10-11T06:47:49.000000
128883,Tremblay-Kassulke,XX-25746,Hat,20,70.21,1404.2,2013-12-23T22:36:54.000000
853091,Becker PLC,QS-76400,Sweater,4,63.15,252.6,2014-07-12T21:22:24.000000
978504,Casper and Sons,RU-25060,Sweater,19,28.97,550.43,2013-12-26T22:55:14.000000
752355,Bashirian-Lakin,FT-50146,Sweater,10,35.52,355.2,2014-07-07T04:34:20.000000
740721,"Dickens, Jewess and Schinner",LK-02338,Sweater,12,69.96,839.52,2014-04-23T15:52:31.000000
189941,"Brakus, Kuhn and Gusikowski",AE-95093,Socks,18,57.55,1035.9,2014-08-06T19:30:37.000000
767440,"Bahringer, Okuneva and Legros",XX-25746,Hat,20,16.15,323.0,2014-05-11T11:58:18.000000
374609,"Homenick, Roob and Beatty",AE-95093,Socks,14,27.96,391.44,2013-12-23T16:05:15.000000
389408,Koch-Ledner,XX-25746,Hat,15,37.72,565.8,2013-10-19T12:42:29.000000
39533,Leannon-Langosh,LK-02338,Sweater,16,68.82,1101.12,2014-05-16T07:26:54.000000
687230,Wunsch-Koelpin,IC-59308,Socks,16,98.15,1570.4,2014-02-04T17:13:45.000000
384516,"Grant, Waelchi and Wyman",ZC-07383,Sweater,3,15.4,46.2,2014-03-21T13:03:20.000000
426360,Wunsch Inc,ZC-07383,Sweater,8,62.94,503.52,2014-04-27T22:03:51.000000
911360,"Fisher, Wuckert and Smitham",RU-25060,Sweater,14,72.49,1014.86,2014-01-07T01:24:07.000000
951852,Jenkins Ltd,ZC-07383,Sweater,15,80.62,1209.3,2014-01-11T20:19:33.000000
915519,Will-Hoeger,LK-02338,Sweater,14,48.32,676.48,2014-06-05T05:02:49.000000
136057,Conroy LLC,AE-95093,Socks,3,71.65,214.95,2014-04-08T00:17:32.000000
829783,Hyatt-Rohan,HX-24728,Hat,16,41.6,665.6,2014-01-26T11:29:07.000000
930445,Kuhlman-Abbott,LK-02338,Sweater,8,29.23,233.84,2014-01-11T02:14:29.000000
487807,"Osinski, Littel and Bartoletti",QS-76400,Sweater,3,61.15,183.45,2014-07-30T06:53:12.000000
972195,"Lemke, Aufderhar and Nitzsche",IC-59308,Socks,8,49.56,396.48,2013-11-17T15:43:00.000000
134966,Weimann-Parisian,QS-76400,Sweater,5,43.17,215.85,2014-09-04T14:35:58.000000
597068,Spencer-Watsica,XX-25746,Hat,6,89.38,536.28,2014-01-09T09:20:23.000000
780349,Douglas Inc,FT-50146,Sweater,6,37.19,223.14,2013-10-03T15:07:03.000000
799421,Schultz Group,IC-59308,Socks,14,10.68,149.52,2013-11-05T01:14:19.000000
791743,Medhurst and Sons,HX-24728,Hat,20,25.04,500.8,2014-05-16T11:33:03.000000
173693,Halvorson PLC,XX-25746,Hat,17,37.95,645.15,2013-11-26T02:39:40.000000
172247,"Mosciski, Hansen and Grant",QS-76400,Sweater,2,99.92,199.84,2014-05-05T16:24:59.000000
418201,Kuhn Ltd,LK-02338,Sweater,8,43.46,347.68,2013-12-21T23:59:55.000000
710898,"Nikolaus, Lehner and Swift",RU-25060,Sweater,8,67.78,542.24,2013-12-15T06:19:05.000000
399218,Kulas-Bernhard,HX-24728,Hat,19,59.25,1125.75,2014-09-07T06:21:53.000000
631502,"Padberg, Wuckert and Jacobson",RU-25060,Sweater,10,50.83,508.3,2014-06-24T03:24:09.000000
674141,Bahringer-Kassulke,GS-95639,Socks,7,10.25,71.75,2013-11-30T00:15:28.000000
757632,Breitenberg-Harvey,GS-95639,Socks,12,16.91,202.92,2013-12-27T16:08:01.000000
337183,"Batz, Nienow and Jenkins",XX-25746,Hat,17,73.4,1247.8,2013-10-29T05:06:47.000000
320821,Lockman LLC,XX-25746,Hat,16,44.9,718.4,2013-12-01T15:03:01.000000
12965,Gaylord Inc,RU-25060,Sweater,2,26.7,53.4,2013-11-16T00:51:24.000000
507817,O'Conner-Abbott,RU-25060,Sweater,11,14.04,154.44,2013-10-26T10:34:56.000000
394424,Russel-Green,RU-25060,Sweater,8,29.13,233.04,2014-09-10T00:00:13.000000
654796,Heaney Group,LK-02338,Sweater,6,77.25,463.5,2014-08-07T09:36:15.000000
455768,Sawayn-Treutel,LK-02338,Sweater,18,41.39,745.02,2013-12-04T02:07:19.000000
920517,Shields and Sons,QS-76400,Sweater,11,90.57,996.27,2014-08-03T03:37:02.000000
254523,Pacocha-Abbott,LK-02338,Sweater,6,18.96,113.76,2014-05-20T07:03:43.000000
400439,Kovacek-Dicki,ZC-07383,Sweater,7,39.57,276.99,2013-11-03T11:00:10.000000
330111,Harber Ltd,IC-59308,Socks,7,77.44,542.08,2014-03-16T03:12:05.000000
897322,"Hilll, Schultz and Braun",RU-25060,Sweater,20,93.23,1864.6,2014-03-29T08:00:13.000000
726918,"Schmidt, Oberbrunner and Beier",HX-24728,Hat,18,32.67,588.06,2014-05-25T04:13:27.000000
198887,Shanahan-Bartoletti,XX-25746,Hat,18,55.56,1000.08,2014-07-28T03:06:34.000000
645451,Rowe-Miller,XX-25746,Hat,5,26.95,134.75,2014-09-19T10:55:49.000000
873132,Nolan-Wolf,QS-76400,Sweater,5,74.7,373.5,2014-06-05T19:15:25.000000
823932,"Johns, Hermann and Wolf",IC-59308,Socks,14,86.45,1210.3,2014-04-02T13:57:13.000000
668727,Schaden and Sons,ZC-07383,Sweater,20,58.4,1168.0,2014-09-21T17:41:17.000000
216227,Mueller Inc,AE-95093,Socks,14,26.23,367.22,2014-03-18T12:07:04.000000
170224,"Grimes, Walker and Schowalter",XX-25746,Hat,18,41.38,744.84,2014-09-30T06:47:11.000000
974584,"Armstrong, McKenzie and Greenholt",IC-59308,Socks,4,31.26,125.04,2013-11-22T06:31:18.000000
870007,"Gerhold, Denesik and Casper",XX-25746,Hat,8,76.03,608.24,2013-12-25T14:39:19.000000
265759,Lockman-Trantow,ZC-07383,Sweater,11,18.96,208.56,2014-01-02T10:54:39.000000
673552,Schoen-Schultz,FT-50146,Sweater,17,66.32,1127.44,2014-09-16T10:36:40.000000
291673,Kuhlman Inc,XX-25746,Hat,11,19.57,215.27,2014-06-20T02:01:26.000000
159317,"Lemke, Boyle and Torphy",ZC-07383,Sweater,20,13.84,276.8,2014-05-25T13:33:43.000000
825544,"Flatley, Prohaska and VonRueden",LK-02338,Sweater,17,50.68,861.56,2013-10-10T06:27:13.000000
441354,"Kreiger, Johnson and Conn",ZC-07383,Sweater,2,66.94,133.88,2014-04-23T15:12:29.000000
271303,Effertz-Hoppe,QS-76400,Sweater,14,18.3,256.2,2014-08-09T02:55:43.000000
41711,Koepp-McLaughlin,QS-76400,Sweater,18,72.13,1298.34,2014-02-23T11:01:10.000000
180324,Reynolds Group,QS-76400,Sweater,13,88.13,1145.69,2014-02-11T13:15:47.000000
751708,"Toy, Macejkovic and Fadel",QS-76400,Sweater,9,38.71,348.39,2014-07-26T10:52:41.000000
248672,Waelchi-Rau,AE-95093,Socks,11,48.59,534.49,2014-03-19T22:06:05.000000
831504,Grady-Boyer,LK-02338,Sweater,12,48.23,578.76,2013-10-07T23:03:08.000000
166594,"Jacobs, Stiedemann and Beatty",GS-95639,Socks,9,23.11,207.99,2014-01-03T23:14:17.000000
302621,Cole Group,RU-25060,Sweater,14,74.46,1042.44,2014-03-05T06:27:06.000000
278424,Paucek-Wilkinson,RU-25060,Sweater,12,72.01,864.12,2014-02-20T18:00:25.000000
391072,Ledner and Sons,XX-25746,Hat,13,39.41,512.33,2013-11-01T07:02:51.000000
124671,Schultz-Mills,LK-02338,Sweater,13,29.78,387.14,2013-10-24T04:53:41.000000
826893,"Schinner, Cruickshank and Ziemann",FT-50146,Sweater,5,10.88,54.4,2014-05-12T20:32:40.000000
482888,Haag Inc,AE-95093,Socks,19,18.92,359.48,2014-01-09T09:47:03.000000
72225,"Ledner, Koss and Ziemann",FT-50146,Sweater,16,25.35,405.6,2014-09-25T21:24:40.000000
685048,Schultz Group,XX-25746,Hat,13,94.05,1222.65,2014-04-25T11:25:08.000000
727064,"Bashirian, Beier and Watsica",GS-95639,Socks,7,64.53,451.71,2014-06-16T10:21:28.000000
78536,"Effertz, Stroman and Stroman",LK-02338,Sweater,13,33.15,430.95,2014-02-25T13:46:51.000000
788245,"Sipes, Stehr and Pacocha",ZC-07383,Sweater,2,92.54,185.08,2014-02-20T02:27:25.000000
254523,Pacocha-Abbott,HX-24728,Hat,4,44.87,179.48,2014-06-24T16:37:56.000000
51256,"Kohler, Legros and Jerde",FT-50146,Sweater,10,15.7,157.0,2014-09-14T17:40:07.000000
98622,"DuBuque, Lind and Towne",LK-02338,Sweater,6,61.5,369.0,2014-01-08T19:49:58.000000
480628,Daugherty-Olson,QS-76400,Sweater,4,83.14,332.56,2014-08-17T19:00:11.000000
954905,Heaney and Sons,RU-25060,Sweater,10,21.43,214.3,2013-11-08T09:35:55.000000
957040,"Bernhard, Price and Bogan",RU-25060,Sweater,2,40.34,80.68,2014-05-19T06:33:35.000000
848530,McKenzie-Wiza,QS-76400,Sweater,11,20.47,225.17,2014-02-19T22:54:02.000000
577407,"Boehm, Gerlach and McClure",QS-76400,Sweater,20,17.76,355.2,2014-02-13T11:16:50.000000
647742,"Swaniawski, Hettinger and Dickinson",XX-25746,Hat,13,31.42,408.46,2014-08-10T19:58:12.000000
686172,Feeney-Kessler,IC-59308,Socks,18,69.04,1242.72,2014-07-09T07:33:35.000000
433327,Zulauf-Will,HX-24728,Hat,10,16.34,163.4,2014-05-05T07:36:02.000000
707783,Sanford-Jacobs,GS-95639,Socks,2,97.77,195.54,2014-01-08T00:50:01.000000
957040,"Bernhard, Price and Bogan",HX-24728,Hat,11,19.87,218.57,2014-02-05T03:50:45.000000
426224,"Klein, Klein and Schamberger",ZC-07383,Sweater,4,50.68,202.72,2013-11-29T16:14:11.000000
326369,Schmitt-Bruen,GS-95639,Socks,8,46.6,372.8,2014-09-07T02:33:37.000000
243642,Paucek-Stehr,QS-76400,Sweater,20,68.91,1378.2,2014-03-06T13:54:24.000000
727064,"Bashirian, Beier and Watsica",XX-25746,Hat,15,65.94,989.1,2014-02-17T07:14:33.000000
527078,Kuvalis-Roberts,GS-95639,Socks,2,62.12,124.24,2014-01-02T19:04:33.000000
314575,"Mraz, Romaguera and Schiller",HX-24728,Hat,5,73.59,367.95,2014-05-17T22:04:47.000000
431043,Grimes-Schmidt,FT-50146,Sweater,9,39.08,351.72,2014-01-09T04:43:45.000000
40995,"McLaughlin, McKenzie and Kulas",ZC-07383,Sweater,19,51.38,976.22,2014-03-02T22:55:33.000000
277918,"Gerhold, Wisoky and Streich",IC-59308,Socks,12,59.11,709.32,2014-06-21T13:45:25.000000
534393,Heathcote-Schaden,ZC-07383,Sweater,7,61.31,429.17,2014-05-05T13:18:04.000000
357988,Dietrich-Krajcik,IC-59308,Socks,15,42.89,643.35,2013-10-18T06:35:35.000000
924946,"Bednar, Flatley and Kozey",RU-25060,Sweater,20,34.19,683.8,2014-05-31T23:36:46.000000
399553,Ortiz-Jenkins,LK-02338,Sweater,10,98.74,987.4,2014-07-13T00:23:16.000000
734285,Lang-Koss,FT-50146,Sweater,1,95.13,95.13,2014-06-27T18:55:55.000000
943137,Walter-Witting,ZC-07383,Sweater,6,16.12,96.72,2014-06-05T12:07:23.000000
369229,Bartell-Kulas,FT-50146,Sweater,5,90.94,454.7,2014-01-11T20:11:47.000000
420556,Beer-Schaden,IC-59308,Socks,6,76.22,457.32,2014-08-11T09:39:24.000000
95951,Russel Ltd,GS-95639,Socks,6,33.65,201.9,2014-06-28T13:35:26.000000
206192,Nicolas-Emard,LK-02338,Sweater,1,41.73,41.73,2013-10-29T00:29:16.000000
194257,Kuhn PLC,ZC-07383,Sweater,14,42.27,591.78,2014-09-30T19:57:34.000000
508938,Stark-Kuhic,QS-76400,Sweater,14,28.91,404.74,2014-08-25T20:07:38.000000
87908,"Torphy, Turner and McClure",FT-50146,Sweater,7,64.95,454.65,2014-06-07T11:09:23.000000
644131,Batz-Dare,XX-25746,Hat,15,52.67,790.05,2014-08-21T09:54:32.000000
872888,"Hettinger, Jewess and Hegmann",RU-25060,Sweater,3,58.11,174.33,2014-09-24T14:37:09.000000
803666,Fritsch-Glover,RU-25060,Sweater,13,23.34,303.42,2014-02-27T16:28:34.000000
786452,"Kuphal, Flatley and Casper",LK-02338,Sweater,6,98.35,590.1,2014-08-08T19:31:23.000000
140484,Aufderhar-O'Hara,AE-95093,Socks,11,60.87,669.57,2014-06-27T21:35:51.000000
400974,"Schimmel, Schaefer and Treutel",GS-95639,Socks,8,81.2,649.6,2013-12-16T22:26:09.000000
172655,Heidenreich-VonRueden,FT-50146,Sweater,8,45.12,360.96,2014-05-16T13:21:02.000000
194257,Kuhn PLC,AE-95093,Socks,5,69.26,346.3,2014-09-16T19:25:33.000000
935914,"Parker, Morar and Fritsch",LK-02338,Sweater,15,62.59,938.85,2014-02-17T16:22:52.000000
229695,O'Kon-Bergnaum,FT-50146,Sweater,15,51.24,768.6,2014-01-05T11:43:20.000000
4450,Beier-Bosco,HX-24728,Hat,4,61.98,247.92,2014-04-16T13:40:01.000000
556347,"O'Connell, Huel and Kunde",QS-76400,Sweater,2,20.23,40.46,2014-09-17T21:03:01.000000
570110,Pollich Inc,AE-95093,Socks,10,12.54,125.4,2014-02-28T20:23:09.000000
174018,"Sanford, Mante and Kshlerin",ZC-07383,Sweater,14,59.77,836.78,2014-04-22T19:50:23.000000
666731,Quigley-Terry,IC-59308,Socks,19,38.97,740.43,2014-03-17T08:44:30.000000
428333,Corkery-Torphy,IC-59308,Socks,5,61.69,308.45,2013-11-15T07:06:31.000000
881248,Runolfsdottir-VonRueden,XX-25746,Hat,13,29.09,378.17,2014-07-25T03:53:14.000000
959810,"Price, Bernhard and Bogisich",AE-95093,Socks,3,85.24,255.72,2014-09-12T11:53:14.000000
794594,Swift Group,GS-95639,Socks,4,96.78,387.12,2014-07-16T14:23:41.000000
70851,Conroy-Schaden,XX-25746,Hat,15,33.26,498.9,2014-05-26T04:29:01.000000
513158,Rogahn-D'Amore,GS-95639,Socks,10,88.08,880.8,2014-03-15T20:57:57.000000
